Country,Award,value,rank
France,1 Star,517,1
Italy,1 Star,323,2
Germany,1 Star,269,3
Spain,1 Star,176,4
Kingdom,1 Star,148,5
Belgium,1 Star,108,6
Netherlands,1 Star,93,7
Switzerland,1 Star,87,8
Portugal,1 Star,25,9
Denmark,1 Star,19,10
France,2 Stars,74,1
Germany,2 Stars,45,2
Italy,2 Stars,38,3
Spain,2 Stars,32,4
Belgium,2 Stars,22,5
Netherlands,2 Stars,21,6
Switzerland,2 Stars,21,7
Kingdom,2 Stars,18,8
Denmark,2 Stars,8,9
Austria,2 Stars,6,10
France,3 Stars,31,1
Italy,3 Stars,11,2
Spain,3 Stars,11,3
Germany,3 Stars,9,4
Kingdom,3 Stars,8,5
Belgium,3 Stars,3,6
Switzerland,3 Stars,3,7
Denmark,3 Stars,2,8
Netherlands,3 Stars,2,9
Austria,3 Stars,1,10
