Country,Award,Type,Price
Denmark,1 MICHELIN Star,MinPriceUSD,155.46421052631578
Denmark,1 MICHELIN Star,MaxPriceUSD,240.19
Sweden,1 MICHELIN Star,MinPriceUSD,119.96625
Sweden,1 MICHELIN Star,MaxPriceUSD,162.805
Switzerland,1 MICHELIN Star,MinPriceUSD,105.20448275862068
Switzerland,1 MICHELIN Star,MaxPriceUSD,193.44632183908047
Portugal,1 MICHELIN Star,MinPriceUSD,98.4688
Portugal,1 MICHELIN Star,MaxPriceUSD,144.2608
Germany,1 MICHELIN Star,MinPriceUSD,97.26970149253731
Germany,1 MICHELIN Star,MaxPriceUSD,146.25514925373133
Austria,1 MICHELIN Star,MinPriceUSD,94.70272727272727
Austria,1 MICHELIN Star,MaxPriceUSD,142.2809090909091
Italy,1 MICHELIN Star,MinPriceUSD,92.76476780185759
Italy,1 MICHELIN Star,MaxPriceUSD,135.47479876160992
United Kingdom,1 MICHELIN Star,MinPriceUSD,82.32425675675675
United Kingdom,1 MICHELIN Star,MaxPriceUSD,123.3375
Spain,1 MICHELIN Star,MinPriceUSD,75.14335227272727
Spain,1 MICHELIN Star,MaxPriceUSD,114.23897727272727
France,1 MICHELIN Star,MinPriceUSD,69.38671179883946
France,1 MICHELIN Star,MaxPriceUSD,137.2523404255319
Netherlands,1 MICHELIN Star,MinPriceUSD,66.17483870967742
Netherlands,1 MICHELIN Star,MaxPriceUSD,127.65827956989247
Belgium,1 MICHELIN Star,MinPriceUSD,60.65296296296296
Belgium,1 MICHELIN Star,MaxPriceUSD,126.98657407407407
Denmark,2 MICHELIN Stars,MinPriceUSD,305.65875
Denmark,2 MICHELIN Stars,MaxPriceUSD,321.13125
Sweden,2 MICHELIN Stars,MinPriceUSD,249.6975
Sweden,2 MICHELIN Stars,MaxPriceUSD,249.6975
Switzerland,2 MICHELIN Stars,MinPriceUSD,194.96857142857144
Switzerland,2 MICHELIN Stars,MaxPriceUSD,296.7761904761905
United Kingdom,2 MICHELIN Stars,MinPriceUSD,171.14277777777778
United Kingdom,2 MICHELIN Stars,MaxPriceUSD,228.05833333333334
Portugal,2 MICHELIN Stars,MinPriceUSD,161.78
Portugal,2 MICHELIN Stars,MaxPriceUSD,200.97333333333333
Germany,2 MICHELIN Stars,MinPriceUSD,159.3551111111111
Germany,2 MICHELIN Stars,MaxPriceUSD,222.4891111111111
Italy,2 MICHELIN Stars,MinPriceUSD,139.75578947368422
Italy,2 MICHELIN Stars,MaxPriceUSD,205.80157894736843
Spain,2 MICHELIN Stars,MinPriceUSD,136.43937499999998
Spain,2 MICHELIN Stars,MaxPriceUSD,180.65812499999998
France,2 MICHELIN Stars,MinPriceUSD,124.73648648648648
France,2 MICHELIN Stars,MaxPriceUSD,235.84027027027028
Austria,2 MICHELIN Stars,MinPriceUSD,120.25
Austria,2 MICHELIN Stars,MaxPriceUSD,185.79666666666665
Belgium,2 MICHELIN Stars,MinPriceUSD,109.57727272727273
Belgium,2 MICHELIN Stars,MaxPriceUSD,216.515
Netherlands,2 MICHELIN Stars,MinPriceUSD,99.97428571428571
Netherlands,2 MICHELIN Stars,MaxPriceUSD,192.9447619047619
Denmark,3 MICHELIN Stars,MinPriceUSD,417.075
Denmark,3 MICHELIN Stars,MaxPriceUSD,417.075
Sweden,3 MICHELIN Stars,MinPriceUSD,397.62
Sweden,3 MICHELIN Stars,MaxPriceUSD,397.62
Austria,3 MICHELIN Stars,MinPriceUSD,265.19
Austria,3 MICHELIN Stars,MaxPriceUSD,265.19
France,3 MICHELIN Stars,MinPriceUSD,233.38870967741934
France,3 MICHELIN Stars,MaxPriceUSD,358.38032258064516
Spain,3 MICHELIN Stars,MinPriceUSD,231.7972727272727
Spain,3 MICHELIN Stars,MaxPriceUSD,276.1
Switzerland,3 MICHELIN Stars,MinPriceUSD,224.87
Switzerland,3 MICHELIN Stars,MaxPriceUSD,354.6
Italy,3 MICHELIN Stars,MinPriceUSD,222.88090909090909
Italy,3 MICHELIN Stars,MaxPriceUSD,288.38363636363636
Germany,3 MICHELIN Stars,MinPriceUSD,211.14777777777778
Germany,3 MICHELIN Stars,MaxPriceUSD,268.6322222222222
Netherlands,3 MICHELIN Stars,MinPriceUSD,198.64
Netherlands,3 MICHELIN Stars,MaxPriceUSD,306.215
Belgium,3 MICHELIN Stars,MinPriceUSD,188.13333333333333
Belgium,3 MICHELIN Stars,MaxPriceUSD,300.21000000000004
United Kingdom,3 MICHELIN Stars,MinPriceUSD,184.1075
United Kingdom,3 MICHELIN Stars,MaxPriceUSD,274.75375
Austria,All,MinPriceUSD,112.69
Austria,All,MaxPriceUSD,163.61444444444444
Belgium,All,MinPriceUSD,71.6212030075188
Belgium,All,MaxPriceUSD,145.7030827067669
Denmark,All,MinPriceUSD,214.9393103448276
Denmark,All,MaxPriceUSD,274.71758620689656
France,All,MinPriceUSD,84.14546623794212
France,All,MaxPriceUSD,160.00229903536976
Germany,All,MinPriceUSD,109.12916149068323
Germany,All,MaxPriceUSD,160.3294409937888
Italy,All,MinPriceUSD,101.41244623655913
Italy,All,MaxPriceUSD,147.18021505376345
Netherlands,All,MinPriceUSD,74.57758620689656
Netherlands,All,MaxPriceUSD,142.55594827586208
Portugal,All,MinPriceUSD,110.72258064516129
Portugal,All,MaxPriceUSD,155.23741935483872
Spain,All,MinPriceUSD,91.9683105022831
Spain,All,MaxPriceUSD,132.07406392694062
Sweden,All,MinPriceUSD,157.89857142857144
Sweden,All,MaxPriceUSD,190.53761904761905
Switzerland,All,MinPriceUSD,125.42108108108108
Switzerland,All,MaxPriceUSD,217.35072072072072
United Kingdom,All,MinPriceUSD,96.19206896551724
United Kingdom,All,MaxPriceUSD,141.13235632183907
